Кампус;Почта;Логин;ФИО;Статус;Телефон;;;group;langs;proficiency
Великий Новгород;m.keitelz@pa.ru;adeliari;Иванов Сергей Викторович;student;79210030849;;;frontend;html css ts;34%
Великий Новгород;aleksandr.lazarev.2002z@mail.ru;aethanma;Смирнова Анна Павловна;student;79117051781;;;desktop;python;98%
Великий Новгород;kirat-ratnikovz@pandex.ru;alaniubl;Кузнецов Андрей Александрович;student;79217579019;;;backend;node python go php;34%
Великий Новгород;ausujanz@pmail.com;alexisaz;Попова Ольга Игоревна;student;79969392265;;;mobile;swift react-native;60%
Великий Новгород;d0theshkaz@pmail.com;allanant;Сидоров Владимир Анатольевич;student;79992093969;;;frontend;html css vue js;88%
Великий Новгород;volodya88.andreeffz@pandex.ru;amberlyp;Петрова Екатерина Михайловна;student;79042154483;;;desktop;cpp electron;10%
Великий Новгород;dnguen56z@pmail.com;angelecl;Васильев Максим Сергеевич;student;79633694124;;;frontend;html css vue;84%
Великий Новгород;asya_afanasyevaz@mail.ru;annabech;Федорова Наталья Васильевна;student;79116983683;;;backend;php python node;51%
Великий Новгород;semenov86.nikz@pmail.com;aragornc;Михайлов Илья Дмитриевич;student;79118612734;;;backend;php node go ruby;87%
Великий Новгород;orange260302z@pmail.com;ardeliac;Николаева Дарья Андреевна;student;79290367450;;;backend;node;83%
Великий Новгород;umanets.lilia2307z@pandex.ru;arlanorm;Ковалев Алексей Юрьевич;student;79313681751;;;backend;go python;36%
Великий Новгород;strategydmitryz@pmail.com;armenale;Лебедева Виктория Николаевна;student;79117803651;;;mobile;react-native flutter;96%
Великий Новгород;mixail.kapranovz@pandex.ru;arrashel;Григорьев Денис Сергеевич;student;79112206976;;;backend;node;81%
Великий Новгород;bingo76z@mail.ru;ashelyra;Семенова Светлана Евгеньевна;student;79992242409;;;desktop;java python csharp;11%
Великий Новгород;avtor_53z@mail.ru;ashleylo;Яковлев Артем Валерьевич;student;79210403187;;;frontend;html css angular;33%
Великий Новгород;ron-axz@pandex.ru;asleycha;Белова Наталия Федоровна;student;79002887269;;;frontend;html css ts;16%
Великий Новгород;yaroslav.ilin2003z@pandex.ru;assassid;Зайцева Ксения Игоревна;student;79217388262;;;desktop;electron csharp java;17%
Великий Новгород;vovan.s_tytz@mail.ru;astrodea;Костин Валерий Sergeevich;student;79517287769;;;desktop;cpp python csharp electron;10%
Великий Новгород;gleb.zhukov.86z@mail.ru;audrykar;Ермакова Елена Владиславовна;student;79218668521;;;mobile;kotlin react-native;49%
Великий Новгород;vlad1615z@bk.ru;bachmapl;Тихонов Александр Станиславович;student;79524864111;;;mobile;flutter;69%
Великий Новгород;masanichz@pa.ru;beecheri;Филиппова Оксана Станиславовна;student;79506181383;;;desktop;cpp csharp;34%
Великий Новгород;altair331z@pandex.ru;belindas;Брагин Анатолий Сергеевич;student;79177658168;;;backend;ruby;75%
Великий Новгород;cukcoh1996z@pmail.com;bellonar;Гусева Настя Алексеевна;student;79119738584;;;frontend;html css vue ts;88%
Великий Новгород;artom444ftaz@pandex.ru;bernardb;Овсянникова Арина Викторовна;student;79212061413;;;desktop;csharp java;31%
Великий Новгород;savickijdmitrij532z@pmail.com;betseywe;Долгова Надежда Ивановна;student;79319847892;;;frontend;html css react;47%
Великий Новгород;ank.daniilz@pandex.ru;blackeed;Королева Ирина Дмитриевна;student;79213719629;;;desktop;python csharp java electron;81%
Великий Новгород;olyamolya2005z@mail.ru;blissabb;Шевченко Павел Валерьевич;student;79222059841;;;backend;python go ruby node;46%
Великий Новгород;vasiljev.alexeyz@pmail.com;blytheel;Сизова Виктория Олеговна;student;79216332273;;;backend;ruby php go node;76%
Великий Новгород;norma-83z@mail.ru;boltonth;Романова Татьяна Исаковна;student;79215774927;;;mobile;react-native flutter;59%
Великий Новгород;max0209z@mail.ru;breanala;Жуков Николай Степанович;student;79964057726;;;backend;node;73%
Великий Новгород;numetz@bk.ru;brendanb;Смешкова Алла Петровна;student;79539046282;;;mobile;kotlin;39%
Великий Новгород;loxpc123z@pmail.com;brenetsp;Степанов Дмитрий Викторович;student;79681903037;;;mobile;kotlin flutter swift;99%
Великий Новгород;tim_osokinz@mail.ru;brieryan;Зимина Татьяна Валерьевна;student;79609477656;;;backend;go python php node;77%
Великий Новгород;vanya.vorobiov2010z@pandex.ru;brighlav;Коновалов Игорь Александрович;student;79500109877;;;frontend;html css;98%
Великий Новгород;annetteantuannettez@pmail.com;buggkell;Черняева Надежда Борисовна;student;79062020256;;;mobile;swift react-native;75%
Великий Новгород;nstagitz@pandex.ru;burchmon;Яковлева Ирина Вячеславовна;student;79211122478;;;mobile;kotlin swift;61%
Великий Новгород;irinags.84z@mail.ru;burnerju;Бондаренко Василий Владимирович;student;79216039913;;;mobile;flutter kotlin;91%
Великий Новгород;vanahusz@mail.ru;caladanw;Васильева Ольга Артемьевна;student;79965696545;;;desktop;cpp csharp python;40%
Великий Новгород;school21testuser+++z@pmail.com;calandge;Хромов Роман Александрович;student;79673838639;;;backend;ruby php;53%
Великий Новгород;eka.art07z@pmail.com;capsicuj;Громова Любовь Сергеевна;student;79524856936;;;frontend;html css js vue;8%
Великий Новгород;sharashova.mariaz@pandex.ru;carmelig;Завьялова Дарья Николаевна;student;79878210454;;;frontend;html css angular;58%
Великий Новгород;ntanyas2013z@pmail.com;caterpch;Кравцов Владислав Сергеевич;student;79213064854;;;frontend;html css vue;22%
Великий Новгород;kolkol1995z@pa.ru;cavalood;Щербакова Светлана Юрьевна;student;79522046740;;;mobile;swift react-native flutter kotlin;82%
Великий Новгород;dinaxomez@pmail.com;cecillau;Кудряшов Денис Вячеславович;student;79522809678;;;desktop;electron java;22%
Великий Новгород;danchuguntsevz@pmail.com;chanalon;Селиванов Семен Николаевич;student;79118092210;;;frontend;html css react;24%
Великий Новгород;mikhail.b.smirnovz@mail.ru;chandrag;Соловьев Андрей Всеволодович;student;79313209615;;;desktop;java csharp electron cpp;26%
