Кампус;Почта;Логин;ФИО;Статус;Телефон;;;group;langs;proficiency;soft_skills
Великий Новгород;m.keitelz@pa.ru;adeliari;Иванов Сергей Викторович;student;79210030849;;;frontend;html css ts;34%;Ответственность
Великий Новгород;aleksandr.lazarev.2002z@mail.ru;aethanma;Смирнова Анна Павловна;student;79117051781;;;desktop;python;98%;Адаптивность
Великий Новгород;kirat-ratnikovz@pandex.ru;alaniubl;Кузнецов Андрей Александрович;student;79217579019;;;backend;node python go php;34%;Эмоциональный интеллект
Великий Новгород;ausujanz@pmail.com;alexisaz;Попова Ольга Игоревна;student;79969392265;;;mobile;swift react-native;60%;Самодисциплина, Организованность, Ответственность
Великий Новгород;d0theshkaz@pmail.com;allanant;Сидоров Владимир Анатольевич;student;79992093969;;;frontend;html css vue js;88%;Организованность, Активность
Великий Новгород;volodya88.andreeffz@pandex.ru;amberlyp;Петрова Екатерина Михайловна;student;79042154483;;;desktop;cpp electron;10%;Ответственность, Самоорганизация, Эмоциональный интеллект, Креативность
Великий Новгород;dnguen56z@pmail.com;angelecl;Васильев Максим Сергеевич;student;79633694124;;;frontend;html css vue;84%;Креативность, Организованность
Великий Новгород;asya_afanasyevaz@mail.ru;annabech;Федорова Наталья Васильевна;student;79116983683;;;backend;php python node;51%;Организованность
Великий Новгород;semenov86.nikz@pmail.com;aragornc;Михайлов Илья Дмитриевич;student;79118612734;;;backend;php node go ruby;87%;Самоорганизация, Эмоциональный интеллект, Эмпатия
Великий Новгород;orange260302z@pmail.com;ardeliac;Николаева Дарья Андреевна;student;79290367450;;;backend;node;83%;Креативность
Великий Новгород;umanets.lilia2307z@pandex.ru;arlanorm;Ковалев Алексей Юрьевич;student;79313681751;;;backend;go python;36%;Ответственность, Самоорганизация, Адаптивность, Эмпатия
Великий Новгород;strategydmitryz@pmail.com;armenale;Лебедева Виктория Николаевна;student;79117803651;;;mobile;react-native flutter;96%;Самоорганизация, Самосовершенствование
Великий Новгород;mixail.kapranovz@pandex.ru;arrashel;Григорьев Денис Сергеевич;student;79112206976;;;backend;node;81%;Организованность, Коммуникабельность, Эмоциональный интеллект
Великий Новгород;bingo76z@mail.ru;ashelyra;Семенова Светлана Евгеньевна;student;79992242409;;;desktop;java python csharp;11%;Адаптивность
Великий Новгород;avtor_53z@mail.ru;ashleylo;Яковлев Артем Валерьевич;student;79210403187;;;frontend;html css angular;33%;Адаптивность
Великий Новгород;ron-axz@pandex.ru;asleycha;Белова Наталия Федоровна;student;79002887269;;;frontend;html css ts;16%;Клиентоориентированность
Великий Новгород;yaroslav.ilin2003z@pandex.ru;assassid;Зайцева Ксения Игоревна;student;79217388262;;;desktop;electron csharp java;17%;Настойчивость, Коммуникабельность, Адаптивность
Великий Новгород;vovan.s_tytz@mail.ru;astrodea;Костин Валерий Sergeevich;student;79517287769;;;desktop;cpp python csharp electron;10%;Самодисциплина, Ответственность, Организованность
Великий Новгород;gleb.zhukov.86z@mail.ru;audrykar;Ермакова Елена Владиславовна;student;79218668521;;;mobile;kotlin react-native;49%;Настойчивость, Эмоциональный интеллект, Ответственность
Великий Новгород;vlad1615z@bk.ru;bachmapl;Тихонов Александр Станиславович;student;79524864111;;;mobile;flutter;69%;Эмпатия, Самодисциплина
Великий Новгород;masanichz@pa.ru;beecheri;Филиппова Оксана Станиславовна;student;79506181383;;;desktop;cpp csharp;34%;Организованность, Эмпатия, Настойчивость
Великий Новгород;altair331z@pandex.ru;belindas;Брагин Анатолий Сергеевич;student;79177658168;;;backend;ruby;75%;Адаптивность
Великий Новгород;cukcoh1996z@pmail.com;bellonar;Гусева Настя Алексеевна;student;79119738584;;;frontend;html css vue ts;88%;Настойчивость
